source_id,amc_name,scheme_name,doc_type,url,source_tier,status,retrieval_eligible,citation_eligible,notes,parse_status,fetch_status,http_status,final_url,content_type,raw_chars,normalized_chars,error_reason,parse_notes,processed_at
SRC-P11-001,Quant Mutual Fund,Quant ELSS Tax Saver Fund,factsheet,https://groww.in/mutual-funds/quant-elss-tax-saver-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-elss-tax-saver-fund-direct-growth,text/html; charset=utf-8,23744,23581,,,2026-05-08T12:59:22Z
SRC-P11-002,Quant Mutual Fund,Quant Flexi Cap Fund,factsheet,https://groww.in/mutual-funds/quant-flexi-cap-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-flexi-cap-fund-direct-growth,text/html; charset=utf-8,25286,25123,,,2026-05-08T12:59:22Z
SRC-P11-003,Quant Mutual Fund,Quant Large Cap Fund,factsheet,https://groww.in/mutual-funds/quant-large-cap-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-large-cap-fund-direct-growth,text/html; charset=utf-8,24986,24823,,,2026-05-08T12:59:22Z
SRC-P11-004,Quant Mutual Fund,Quant Mid Cap Fund,factsheet,https://groww.in/mutual-funds/quant-mid-cap-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-mid-cap-fund-direct-growth,text/html; charset=utf-8,24292,24129,,,2026-05-08T12:59:22Z
SRC-P11-005,Quant Mutual Fund,Quant Multi Cap Fund,factsheet,https://groww.in/mutual-funds/quant-multi-cap-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-multi-cap-fund-direct-growth,text/html; charset=utf-8,26656,26139,,,2026-05-08T12:59:22Z
SRC-P11-006,Quant Mutual Fund,Quant Small Cap Fund,factsheet,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-small-cap-fund-direct-plan-growth,text/html; charset=utf-8,27674,24544,,,2026-05-08T12:59:22Z
SRC-P11-007,Quant Mutual Fund,Quant Aggressive Hybrid Fund,factsheet,https://groww.in/mutual-funds/quant-aggressive-hybrid-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-aggressive-hybrid-fund-direct-growth,text/html; charset=utf-8,24807,24644,,,2026-05-08T12:59:22Z
SRC-P11-008,Quant Mutual Fund,Quant Large And Mid Cap Fund Direct Growth,factsheet,https://groww.in/mutual-funds/quant-large-and-mid-cap-fund-direct-growth,groww_mutual_funds_only,approved,yes,yes,Accepted Groww mutual fund URL.,parsed,ok,200,https://groww.in/mutual-funds/quant-large-and-mid-cap-fund-direct-growth,text/html; charset=utf-8,24290,24127,,,2026-05-08T12:59:22Z
