step_number,script,elapsed_seconds,return_code,started_at,finished_at
1,phase1_1/scripts/validate_source_intake.py,68.867,0,2026-05-08T12:56:44.404078+00:00,2026-05-08T12:57:53.271205+00:00
2,phase1_2/scripts/fetch_and_parse.py,88.93,0,2026-05-08T12:57:53.271218+00:00,2026-05-08T12:59:22.201551+00:00
3,phase1_3/scripts/extract_fields.py,0.174,0,2026-05-08T12:59:22.201563+00:00,2026-05-08T12:59:22.375372+00:00
4,phase1_4_1/scripts/build_chunks_and_metadata.py,0.15,0,2026-05-08T12:59:22.375386+00:00,2026-05-08T12:59:22.525748+00:00
5,phase1_4_2/scripts/generate_embeddings.py,75.479,0,2026-05-08T12:59:22.525759+00:00,2026-05-08T13:00:38.004880+00:00
6,phase1_4_3/scripts/upsert_to_chromadb.py,4.76,0,2026-05-08T13:00:38.004895+00:00,2026-05-08T13:00:42.765056+00:00
7,phase1_5/scripts/run_phase1_5_checks.py,9.68,0,2026-05-08T13:00:42.765072+00:00,2026-05-08T13:00:52.445325+00:00
